NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Monos Los,La Chorrera,Amazonas,148.4,215.8,252.6,356.6,427.2,386.4,334.7,274.9,269.7,270.0,245.9,192.5,3374.7
Manacaro,La Pedrera,Amazonas,286.8,323.4,356.2,389.0,355.8,372.6,293.0,211.4,193.1,232.2,306.1,264.1,3583.7
Pto Cordoba,La Pedrera,Amazonas,347.8,315.4,352.5,398.4,392.0,423.9,388.4,298.1,288.5,320.6,361.0,324.2,4210.8
Apto Vasquez Cobo,Leticia,Amazonas,348.1,335.7,347.8,353.0,299.3,203.3,158.0,168.4,240.1,261.7,304.4,292.3,3312.1
Maria Manteca,Miriti - Parana,Amazonas,322.7,343.2,366.5,474.1,475.9,463.1,311.2,222.9,255.5,289.8,334.4,345.2,4204.5
Miranas Las,Miriti - Parana,Amazonas,269.8,296.1,322.8,369.4,372.0,344.1,289.3,226.2,253.5,311.1,287.2,290.3,3631.8
Monochoa,Puerto Santander,Amazonas,159.0,248.3,259.9,409.0,458.4,403.8,360.2,297.7,289.6,292.8,257.5,189.8,3626.0
Sta Isabel,Puerto Santander,Amazonas,274.7,335.7,343.9,460.0,446.7,431.7,306.8,246.0,266.9,259.1,246.9,254.7,3873.1
Abejorral,Abejorral,Antioquia,109.7,108.0,171.7,221.1,253.6,151.1,118.9,167.5,249.6,278.8,253.6,166.5,2250.1
Buey El,Abejorral,Antioquia,73.08,70.94,123.6,192.9,253.7,169.0,136.9,171.0,215.4,262.7,209.1,102.9,1981.22
Abriaqui,Abriaqui,Antioquia,86.05,109.4,141.3,243.3,242.1,178.5,143.2,164.4,205.5,267.1,211.7,148.2,2140.75
Amalfi,Amalfi,Antioquia,99.0,133.0,173.4,344.8,379.1,291.5,280.3,306.4,343.2,408.6,281.5,132.8,3173.6
Cueva Santa,Amalfi,Antioquia,70.23,156.9,174.4,349.0,334.3,294.2,302.9,324.9,329.3,359.2,250.0,107.3,3052.63
Monos Hda,Amalfi,Antioquia,60.72,130.4,138.9,307.1,379.9,341.2,352.5,314.9,392.8,339.8,222.4,85.17,3065.79
Campamento,Andes,Antioquia,91.64,88.88,170.2,255.5,262.9,211.5,186.3,196.3,253.3,250.7,198.8,104.6,2270.62
Ita Andes,Andes,Antioquia,78.66,105.5,161.0,217.6,243.4,189.5,169.6,185.5,222.7,223.8,180.8,122.3,2100.36
Sta Barbara,Andes,Antioquia,115.7,146.0,176.1,236.1,270.4,207.5,184.8,202.4,238.2,271.0,199.7,162.0,2409.9
