NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Monos Los,La Chorrera,Amazonas,10.5,13.12,14.66,18.12,20.18,19.25,19.12,16.12,15.5,13.18,15.43,12.18,187.36000000000004
Manacaro,La Pedrera,Amazonas,18.68,17.81,19.18,19.31,23.12,22.75,21.18,17.37,14.62,16.25,17.25,16.75,224.27
Pto Cordoba,La Pedrera,Amazonas,15.75,14.25,15.53,16.75,17.0,17.81,16.68,14.56,13.18,13.37,15.0,15.25,185.13000000000002
Apto Vasquez Cobo,Leticia,Amazonas,23.83,20.8,22.54,21.96,23.2,18.54,16.23,15.8,17.64,19.32,20.32,22.7,242.88
Maria Manteca,Miriti - Parana,Amazonas,17.81,17.56,18.62,20.5,21.75,21.81,19.62,15.25,16.43,14.5,16.4,18.6,218.85
Miranas Las,Miriti - Parana,Amazonas,12.73,13.86,14.18,16.46,17.93,17.66,17.06,13.43,12.06,14.31,13.68,14.87,178.23000000000002
Monochoa,Puerto Santander,Amazonas,12.87,15.68,16.93,22.25,24.25,23.56,22.56,19.37,18.81,17.81,16.87,14.0,224.96
Sta Isabel,Puerto Santander,Amazonas,17.57,16.21,17.2,19.73,21.13,21.06,19.4,15.66,14.06,14.4,15.28,17.4,209.10000000000002
Abejorral,Abejorral,Antioquia,11.57,11.35,15.35,17.25,17.85,14.0,11.17,14.21,17.82,20.42,19.71,13.59,184.29000000000002
Buey El,Abejorral,Antioquia,13.52,14.64,18.47,21.35,25.58,20.94,18.35,19.52,23.41,26.47,23.52,17.23,243.0
Abriaqui,Abriaqui,Antioquia,10.42,12.61,14.38,21.23,21.61,15.73,14.16,15.84,19.11,23.23,21.34,14.08,203.74
Amalfi,Amalfi,Antioquia,9.178,11.32,12.64,19.33,21.5,16.71,16.92,18.92,19.96,21.64,17.44,10.89,196.44799999999998
Cueva Santa,Amalfi,Antioquia,6.076,8.703,9.888,15.62,16.85,15.14,14.88,15.08,17.3,18.92,13.96,8.28,160.697
Monos Hda,Amalfi,Antioquia,5.5,8.611,9.0,17.36,19.94,16.26,16.31,16.94,18.94,19.84,14.73,8.421,171.852
Campamento,Andes,Antioquia,8.823,8.823,12.7,17.41,20.64,15.29,14.05,15.23,18.43,19.62,15.93,9.941,176.88700000000003
Ita Andes,Andes,Antioquia,13.96,14.75,17.46,22.0,23.6,19.96,17.68,19.4,22.96,24.5,20.44,15.65,232.36000000000004
Sta Barbara,Andes,Antioquia,12.27,13.06,16.68,20.17,22.72,20.07,17.31,18.62,21.24,22.96,19.68,15.1,219.88000000000002
Angostura,Angostura,Antioquia,4.857,7.103,7.758,14.79,19.68,17.48,17.82,17.2,18.28,18.89,13.86,7.931,165.64900000000003
Tabor El,Angostura,Antioquia,13.94,14.44,16.94,24.33,26.72,23.77,22.66,24.23,25.16,27.05,21.88,17.66,258.78000000000003
Anori,Anori,Antioquia,6.187,8.312,10.87,17.18,20.43,17.43,18.18,17.87,19.25,22.75,17.06,8.312,183.83100000000002
Anori,Anori,Antioquia,11.04,12.82,14.17,21.21,24.66,22.08,22.25,22.16,22.79,24.45,19.9,13.7,231.23
Carmen Hda El,Anori,Antioquia,7.04,9.04,11.84,17.6,18.96,17.84,17.12,17.36,18.72,20.4,15.0,8.8,179.72
Anza,Anza,Antioquia,3.6,5.3,6.633,10.33,12.36,11.7,9.666,10.9,12.89,13.34,9.933,5.366,112.01800000000001
Casco El,Apartado,Antioquia,6.047,5.318,4.863,10.68,13.86,12.9,14.31,13.85,12.05,11.71,10.76,9.227,125.575
Lorena La,Apartado,Antioquia,4.381,4.3,3.863,8.666,10.68,9.818,9.666,9.666,8.473,9.55,8.952,7.227,95.24199999999999
Uniban,Apartado,Antioquia,8.956,9.217,9.347,17.54,21.9,21.08,22.04,22.17,21.43,20.91,18.56,14.3,207.45000000000002
Arboletes,Arboletes,Antioquia,2.9,2.75,3.6,8.333,15.04,13.42,13.66,13.52,13.57,14.57,11.65,6.0,119.013
Carmelo El,Arboletes,Antioquia,1.84,1.375,2.28,5.814,9.925,8.074,8.148,10.03,8.963,8.963,6.777,4.692,76.881
Armenia,Armenia,Antioquia,5.681,8.087,8.909,14.13,17.45,14.39,13.17,13.87,17.34,16.79,14.79,8.875,153.482
Barbosa,Barbosa,Antioquia,9.105,10.31,12.26,19.68,22.89,19.26,17.68,20.52,22.31,24.21,18.47,12.0,208.69500000000002
Progreso Hda El,Barbosa,Antioquia,9.64,11.3,13.3,20.96,22.5,19.8,19.46,20.38,21.0,22.52,18.88,11.91,211.65
Fabricato,Bello,Antioquia,11.05,11.94,16.52,20.05,25.17,19.82,18.11,19.47,22.82,25.29,20.23,14.23,224.69999999999996
Meseta La Sn Pedro,Bello,Antioquia,6.555,6.423,9.153,14.29,16.66,12.76,12.22,13.37,16.26,18.74,16.42,10.28,153.131
Tulio Ospina,Bello,Antioquia,9.482,9.827,14.46,19.63,22.3,18.16,17.13,18.42,20.59,22.79,17.89,12.24,202.91899999999998
